Sex,NPC,Point,Age,BMI,Height
Female,1,A+,-0.27825645194066245,-0.7220278513724394,-0.1302409706007987
Female,1,A−,-0.7904186141028247,-1.1103501359211392,-0.43029612779881254
Female,1,B+,0.25012192643771586,-0.2553016912500528,0.044055775124518276
Female,1,B−,-0.2701483438325543,-0.7235576830909503,-0.18581184760024708
Female,1,C+,0.2785003048160943,0.42343364786264487,0.11231280766726517
Female,1,C−,0.23931111562690505,-0.24892739242292375,0.02668125775000095
Female,1,D+,0.34201381832960775,1.373076687128326,0.4588379041923612
Female,1,D−,0.40823003454582396,0.754514728943726,0.17436465543339852
Female,2,A+,0.2379597642755537,-0.8720788457630565,0.10610762289065166
Female,2,A−,-1.202580776264987,-0.774169615778355,-0.5688785878098439
Female,2,B+,0.06633814265393212,0.3557385943185348,0.07025544418133021
Female,2,B−,-1.0931213168055274,0.3608380333802379,-0.487659613733727
Female,2,C+,1.1960678723836617,-0.5995138279150196,0.4491853945398514
Female,2,C−,-0.2498780735622841,-0.6803399370430157,-0.04667781560907238
Female,2,D+,1.1176894940052835,0.6381200323603502,0.5441936681195538
Female,2,D−,-0.14582401950822999,0.8443923424062453,0.03592008841740315
Female,3,A+,-0.13906726275147324,-0.7602736443352133,0.3112923995039995
Female,3,A−,-1.2714996951839057,-0.7012476371959988,0.23448600126902996
Female,3,B+,0.9433651696809591,-0.22508751480946124,-1.0643281189736602
Female,3,B−,-0.8417699654541758,-0.3487489120557641,-1.079358455432568
Female,3,C+,1.196067872383662,-0.43212474071461165,0.36824220645380634
Female,3,C−,-0.07149969518390571,-0.5079788967574469,0.3454898622728907
Female,3,D+,0.8866084129242024,1.120526967597474,0.44215285179302305
Female,3,D−,-0.776905100589311,1.0092317100758015,0.3562455158856875
Male,1,A+,-0.18607068607068605,-0.8585324931478782,-0.04666536166536158
Male,1,A−,-0.8065661815661817,-1.3457119803273656,-0.33450319950319946
Male,1,B+,0.2519923769923771,-0.1473405319559166,-0.038151848151848106
Male,1,B−,-0.21534996534996534,-0.862517247132632,-0.04828698328698319
Male,1,C+,0.38825363825363834,0.5246968900815057,0.03806436806436822
Male,1,C−,0.09771309771309776,-0.2767584113737961,-0.0026113076113076505
Male,1,D+,0.44681219681219686,1.4332207986054146,0.36968598968598954
Male,1,D−,0.30604643104643114,0.6991598145444303,0.23103734103734108
Male,2,A+,-0.09598059598059598,-0.6909995756149605,0.026713016713016707
Male,2,A−,-1.1286382536382538,-0.621526256141641,-0.2107194157194157
Male,2,B+,0.8983887733887734,-0.5518796864950715,-0.32639509139509143
Male,2,B−,-1.0374220374220375,-0.7206253552407402,-0.028422118422118378
Male,2,C+,1.143884268884269,-0.34605848067386547,0.0573886923886926
Male,2,C−,-0.07796257796257798,-0.2620321466475313,0.12090220590220595
Male,2,D+,0.8893797643797644,0.9430960584806743,0.4321184221184221
Male,2,D−,-0.7052148302148303,1.0236573890420049,0.008875178875178899
Male,3,A+,0.013253638253638247,-0.723743858359243,-0.21653022653022652
Male,3,A−,-1.0926022176022179,-0.7802234148387999,-0.2518004968004968
Male,3,B+,0.9524428274428276,-0.46126984588523057,0.7109022059022059
Male,3,B−,-0.659043659043659,-0.7653238999392848,0.8233346383346383
Male,3,C+,1.0357761607761609,-0.24106887568426041,-0.7063950913950915
Male,3,C−,-0.17931392931392934,-0.18389631851170318,-0.7818004968004967
Male,3,D+,0.6934338184338185,1.1140939794785953,0.2280643680643681
Male,3,D−,-0.7435031185031187,0.9980163634009793,0.12874004374004364
